,Femme,Homme,Age1,Age2,Age3,Age4,Age5,Age6
1ére,1,0,0,0,0,0,0,1
20,126,74,41,38,24,27,34,36
200,22,8,8,11,0,5,4,2
2000,4,3,0,2,0,2,2,1
20000,2,0,0,1,0,1,0,0
2000euros,0,1,0,0,0,0,0,1
2001,0,1,1,0,0,0,0,0
2003,2,0,0,0,0,1,1,0
2004,1,2,2,1,0,0,0,0
2006,3,0,0,1,0,2,0,0
2007,3,1,1,0,0,3,0,0
2008,1,0,1,0,0,0,0,0
2009,6,0,1,3,0,1,1,0
200boules,0,1,0,1,0,0,0,0
200e,5,0,0,0,0,0,5,0
200mots,1,0,0,0,0,0,1,0
2010,6,3,1,1,0,2,3,2
2011,12,7,2,2,2,3,2,8
2012,10,4,0,3,0,5,2,4
2013,2,1,1,0,0,1,0,1
20408,0,1,1,0,0,0,0,0
20408122449,0,1,1,0,0,0,0,0
206,1,3,0,0,0,1,3,0
208,1,0,0,0,1,0,0,0
20_30,1,0,1,0,0,0,0,0
20aine,1,0,0,0,0,1,0,0
20ans,5,0,0,0,0,0,5,0
20b15,1,0,0,0,1,0,0,0
20c,1,0,1,0,0,0,0,0
20cv,1,0,0,0,0,0,1,0
20e,8,0,1,0,0,3,2,2
20euro,0,1,1,0,0,0,0,0
20euros,2,1,0,1,1,1,0,0
20h,84,39,9,16,16,34,28,20
20h00,2,0,0,0,1,0,0,1
20h05,2,0,1,0,0,0,0,1
20h07,1,0,0,0,0,1,0,0
20h10,0,1,0,0,0,0,0,1
20h15,17,9,2,3,6,4,3,8
20h20,3,0,0,0,0,2,0,1
20h30,47,17,6,0,4,10,12,32
20h35,2,1,0,0,2,0,1,0
20h36,1,0,1,0,0,0,0,0
20h40,2,0,0,0,0,0,0,2
20h44,1,0,1,0,0,0,0,0
20h45,6,3,1,0,2,0,2,4
20h50,2,1,3,0,0,0,0,0
20heure15,1,0,0,0,1,0,0,0
20hon,1,0,0,0,0,1,0,0
20jours,1,0,0,0,0,0,0,1
20km,1,0,0,0,0,0,1,0
20min,27,3,8,7,2,11,2,0
20minutes,2,1,2,1,0,0,0,0
20mn,4,1,1,0,1,0,2,1
20p,3,0,0,0,2,1,0,0
20p38,1,0,0,1,0,0,0,0
20pages,1,0,0,0,0,0,1,0
20personnes,1,0,0,1,0,0,0,0
20s,1,0,0,1,0,0,0,0
20sec,1,0,0,1,0,0,0,0
20stp,1,0,1,0,0,0,0,0
20vrai,1,0,0,1,0,0,0,0
20x33cl,0,1,0,0,1,0,0,0
20θe,0,1,0,0,0,0,0,1
21,51,11,11,9,8,12,6,16
211,1,1,1,0,0,0,0,1
212,0,1,0,1,0,0,0,0
216,1,0,0,1,0,0,0,0
217,1,0,0,1,0,0,0,0
218euros,1,0,0,1,0,0,0,0
21ans,1,0,0,1,0,0,0,0
21h,43,26,17,9,6,15,11,11
21h00,1,0,0,0,0,1,0,0
21h05,0,1,0,0,0,0,1,0
21h15,11,3,1,1,6,3,0,3
21h15stp,1,0,1,0,0,0,0,0
21h20,1,0,0,0,1,0,0,0
21h28,1,0,0,0,0,0,0,1
21h30,13,8,3,1,5,3,5,4
21h30max,1,0,1,0,0,0,0,0
21h33,1,0,0,0,0,0,0,1
21h40,1,0,1,0,0,0,0,0
21h40pour,1,0,1,0,0,0,0,0
21h45,6,2,2,1,0,1,3,1
21h50,2,0,0,0,0,0,2,0
21h55,2,0,0,0,0,0,2,0
21h58,1,0,0,0,1,0,0,0
21heures,0,1,0,0,0,0,0,1
21jours,1,0,1,0,0,0,0,0
21max,1,0,0,0,0,0,1,0
21min,1,0,0,1,0,0,0,0
21pm,1,0,0,0,0,1,0,0
22,20,17,8,7,2,8,6,6
220,1,0,0,0,0,1,0,0
224,0,1,1,0,0,0,0,0
22ans,4,0,0,1,0,1,1,1
22aout,1,0,0,0,0,0,1,0
22cm,1,0,0,0,0,0,1,0
22h,31,15,8,8,7,9,9,5
22h05,1,0,0,0,0,1,0,0
22h10,2,1,0,1,1,0,0,1
22h12,1,0,0,0,1,0,0,0
22h15,6,1,0,0,0,1,5,1
22h20,1,1,1,0,1,0,0,0
22h30,17,4,8,1,1,3,2,6
22h30g,1,0,0,1,0,0,0,0
22h40,2,1,1,0,0,0,0,2
22h45,1,0,0,0,0,0,1,0
22hje,1,0,1,0,0,0,0,0
23,14,10,4,0,1,2,7,10
230,2,0,0,0,1,0,1,0
23000mui,1,0,0,0,0,0,0,1
230e,1,0,0,0,0,1,0,0
231,1,0,1,0,0,0,0,0
233,1,0,0,0,0,1,0,0
234,1,0,0,1,0,0,0,0
236,1,0,0,0,0,0,0,1
2362,1,0,0,1,0,0,0,0
2367,1,0,0,0,0,1,0,0
23e,1,0,0,0,0,0,1,0
23h,23,7,7,3,6,4,6,4
23h10,2,0,0,0,0,1,0,1
23h15,1,0,0,1,0,0,0,0
23h20,1,0,0,0,0,1,0,0
23h30,5,0,0,0,0,2,1,2
23h35,1,0,0,0,0,0,0,1
23h45,1,0,1,0,0,0,0,0
23h50,1,0,0,0,0,1,0,0
23h53,1,0,0,0,0,0,0,1
23heure,1,0,0,0,0,1,0,0
24,36,10,7,15,5,1,6,12
240,2,0,0,0,0,1,1,0
2411,1,0,0,0,0,1,0,0
249euros,1,0,0,0,0,0,0,1
24ans,2,0,0,0,0,0,2,0
24avril,1,0,0,0,0,0,0,1
