,Femme,Homme,Age1
aaaaaaaaaaaaaaahhhhhhhhh,1,0,0
aaaaaaaaaaaaaah,1,0,0
aaaaaaaaaaaaaahhhhh,1,0,0
aaaaaaaaaaaaah,2,0,0
aaaaaaaaaaaah,1,0,0
aaaaaaaaaaahhhhhh,1,0,0
aaaaaaaaaah,2,0,0
aaaaaaaaah,1,0,0
aaaaaaaaahhhhhhhhhhhhh,0,1,1
aaaaaaaah,1,1,0
aaaaaaaahhh,1,0,0
aaaaaaaahhhhhh,1,0,0
aaaaaaah,7,0,1
aaaaaaahhh,1,0,0
aaaaaaahhhhhh,1,0,0
aaaaaah,10,1,1
aaaaaahh,1,0,0
aaaaaahhh,1,0,0
aaaaaahhhhhhhhhhhhhh,1,0,0
aaaaaaie,1,0,0
aaaaaaime,1,0,0
aaaaaargh,1,0,0
